id,location name,latitude (decimal degrees),longitude (decimal degrees)
157,Longway Vietnam Company Limited,10.87934,106.51946
158,TKG TAEKWANG CAN THO COMPANY LIMITED,9.97307,105.80173
159,"QUANG VIET ENTERPRISE CO., LTD",10.98918,106.5052
160,PROMAX TEXTILE (VIETNAM) CO. LTD.  (FTY 2),10.710425,106.943112
161,FAR EASTERN POLYTEX (VIETNAM) LTD,11.269911,106.598756
162,"Ting Heng Co., Ltd",10.899503,106.38565
163,EverTech Plastic Vietnam Company LTD Branch,11.11113,106.79424
164,"framas Korea Vina Co., Ltd",10.823948,106.926079
165,TONG HONG TANNERY CO LTD (VIETNAM),10.64069,107.03982
166,GOLD LONG JOHN (VIETNAM),10.6905305,106.8503771
167,VIRTUE KING VIETNAM COMPANY LIMITED,10.92194,106.74163
168,"Vietnam ECI Elastic Co., Ltd",10.98659,106.670598
169,"DAEWON CHEMICAL VINA CO., LTD.",10.80039,106.92411
170,"Vietnam Dona Standard Footwear Co., Ltd",10.907818,107.413287
