Index,Factory name,country,bws_score,bwd_score,cfr_score,drr_score,Factory Type
94,"FORMOSA TAFFETA CO., LTD.",Taiwan,1.363146487,0.922523529,2.413248717,-9999.0,MATERIALS
95,"FORMOSA TAFFETA DONG NAI CO., LTD.",Vietnam,1.054499597,0.670249605,4.000495029,2.810883013,MATERIALS
96,FORMOSA TAFFETA VIETNAM CO LTD,Vietnam,4.452659764,2.513910154,2.561941643,3.371990261,MATERIALS
97,FORMOSA TING SHO ENT CO LTD (TAIWAN),Taiwan,1.363146487,0.922523529,2.413248717,-9999.0,MATERIALS
98,"FOSHAN COSMO HUAZHOU TEXTILE CO.,LTD.",China,1.840089816,0.89520095,4.00210769,2.704106647,MATERIALS
99,"framas Korea Vina Co., Ltd",Vietnam,1.69615882,1.143929498,3.025974392,2.167585356,FINISHED GOODS - COMPONENTS
100,"FREETREND INDUSTRIAL (VIETNAM) CO., LTD",Vietnam,1.69615882,1.143929498,3.025974392,2.167585356,FINISHED GOODS
101,"Fu-Luh Shoes Co., LTD",Vietnam,4.452659764,2.513910154,2.561941643,3.371990261,FINISHED GOODS
102,"Fujian Lifeng Footwear Industrial Development CO.,LTD.",China,3.745119965,1.642171866,3.394681492,2.601891102,FINISHED GOODS
103,"Fujian San Feng Footwear Co.,Ltd",China,0.0,0.049394567,0.0,2.605696667,FINISHED GOODS
104,"Fujian Xiefeng Footwear Co.,Ltd.",China,3.745119965,1.642171866,3.394681492,2.601891102,FINISHED GOODS
105,"Fujian Xingxun New Materials Technology Co., Ltd.",China,1.757077517,1.031527928,3.041224033,2.629152303,FINISHED GOODS - COMPONENTS
106,"Fujian Zhuojian Garment Technology Co., Ltd",China,3.505778364,1.725985497,2.683031872,2.556107418,FINISHED GOODS
107,FUQING TIONGLIONG XINYE SHOES MATERIAL CO LTD,China,0.113800686,0.264907227,3.238619229,2.653953259,MATERIALS
108,"Future Garment Co., Ltd.",Thailand,3.109756422,1.63008337,2.129345161,3.069143173,FINISHED GOODS
109,Gain Lucky (Vietnam) Limited,Vietnam,4.452659764,2.513910154,2.561941643,3.371990261,MATERIALS
110,GB LIGHT CO LTD (VIETNAM),Vietnam,1.69615882,1.143929498,3.025974392,2.167585356,MATERIALS
111,Germton Development Company Limited,Vietnam,3.091303255,1.413338034,2.197614649,2.315745285,FINISHED GOODS
112,Germton Industrial Company Ltd.,Vietnam,0.844826194,0.47620477,0.0,2.130262904,FINISHED GOODS
113,GOLD LONG JOHN (INDONESIA),Indonesia,3.313764823,1.530841604,2.559099762,3.641593757,FINISHED GOODS - COMPONENTS
114,GOLD LONG JOHN (TR1) (CHINA),China,0.0,0.082410582,4.004380635,2.570440387,FINISHED GOODS - COMPONENTS
115,GOLD LONG JOHN (TR1) (TAIWAN),Taiwan,1.363146487,0.922523529,2.413248717,-9999.0,FINISHED GOODS - COMPONENTS
116,Gold Long John (Vietnam 2nd location),Vietnam,1.054499597,0.670249605,4.000495029,2.810883013,FINISHED GOODS - COMPONENTS
117,GOLD LONG JOHN (VIETNAM),Vietnam,1.054499597,0.670249605,4.000495029,2.810883013,FINISHED GOODS - COMPONENTS
118,"Green TG Co., Ltd",Vietnam,4.452659764,2.513910154,2.561941643,3.371990261,FINISHED GOODS
119,GreenTech Headgear Company Limited,Vietnam,1.054499597,0.670249605,4.000495029,2.810883013,FINISHED GOODS
120,"Guangdong Glory textile Enterprise Co., Ltd.",China,1.840089816,0.89520095,4.00210769,2.704106647,MATERIALS
